full_name,repo_name,owner,url,stars,primary_language,created_at,updated_at,age_days,age_years,merged_prs,total_releases,total_issues,closed_issues,closed_issues_ratio,closed_issues_percent,days_since_update
codecrafters-io/build-your-own-x,build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,472534,Markdown,2018-05-09T12:03:18Z,2026-03-05T21:26:11Z,2857,7.822,155,0,888,653,0.73536,73.54,0
sindresorhus/awesome,awesome,sindresorhus,https://github.com/sindresorhus/awesome,442862,Unknown,2014-07-11T13:42:37Z,2026-03-05T21:34:41Z,4255,11.6496,694,0,365,349,0.956164,95.62,0
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437809,TypeScript,2014-12-24T17:49:19Z,2026-03-05T20:52:19Z,4089,11.1951,27772,0,21154,20978,0.99168,99.17,0
public-apis/public-apis,public-apis,public-apis,https://github.com/public-apis/public-apis,404510,Python,2016-03-20T23:49:42Z,2026-03-05T21:39:57Z,3636,9.9548,1872,0,839,833,0.992849,99.28,0
EbookFoundation/free-programming-books,free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,383634,Python,2013-10-11T06:50:37Z,2026-03-05T21:25:23Z,4528,12.397,7328,0,1263,1227,0.971496,97.15,0
kamranahmedse/developer-roadmap,developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,350245,TypeScript,2017-03-15T13:45:52Z,2026-03-05T21:35:04Z,3277,8.9719,4073,1,3085,3054,0.989951,99.0,0
jwasham/coding-interview-university,coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,337611,Unknown,2016-06-06T02:34:12Z,2026-03-05T20:47:36Z,3559,9.744,415,0,525,454,0.864762,86.48,0
donnemartin/system-design-primer,system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,337387,Python,2017-02-26T16:15:28Z,2026-03-05T21:31:20Z,3294,9.0185,203,0,360,110,0.305556,30.56,0
vinta/awesome-python,awesome-python,vinta,https://github.com/vinta/awesome-python,285739,Python,2014-06-27T21:00:06Z,2026-03-05T21:35:54Z,4269,11.6879,641,0,0,0,0.0,0.0,0
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,277505,Unknown,2015-06-01T02:33:17Z,2026-03-05T21:38:28Z,3930,10.7598,2395,1,807,807,1.0,100.0,0
996icu/996.ICU,996.ICU,996icu,https://github.com/996icu/996.ICU,275652,Unknown,2019-03-26T07:31:14Z,2026-03-05T17:11:31Z,2536,6.9432,1072,0,0,0,0.0,0.0,0
openclaw/openclaw,openclaw,openclaw,https://github.com/openclaw/openclaw,265204,TypeScript,2025-11-24T10:16:47Z,2026-03-05T21:40:24Z,101,0.2765,2733,59,15345,10010,0.65233,65.23,0
practical-tutorials/project-based-learning,project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,260268,Unknown,2017-04-12T05:07:46Z,2026-03-05T21:26:32Z,3249,8.8953,182,0,227,82,0.361233,36.12,0
facebook/react,react,facebook,https://github.com/facebook/react,243641,JavaScript,2013-05-24T16:15:54Z,2026-03-05T21:28:59Z,4668,12.7803,12774,118,14385,13576,0.943761,94.38,0
torvalds/linux,linux,torvalds,https://github.com/torvalds/linux,221040,C,2011-09-04T22:48:12Z,2026-03-05T21:25:04Z,5295,14.4969,0,0,0,0,0.0,0.0,0
TheAlgorithms/Python,Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,218365,Python,2016-07-16T09:44:01Z,2026-03-05T21:32:44Z,3519,9.6345,3046,0,1702,1540,0.904818,90.48,0
vuejs/vue,vue,vuejs,https://github.com/vuejs/vue,209962,TypeScript,2013-07-29T03:24:51Z,2026-03-05T20:23:00Z,4602,12.5996,1136,249,10027,9668,0.964197,96.42,0
trimstray/the-book-of-secret-knowledge,the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,208805,Unknown,2018-06-23T10:43:14Z,2026-03-05T21:32:39Z,2812,7.6988,122,0,0,0,0.0,0.0,0
ossu/computer-science,computer-science,ossu,https://github.com/ossu/computer-science,202143,HTML,2014-05-04T00:18:39Z,2026-03-05T21:33:58Z,4323,11.8357,305,0,666,654,0.981982,98.2,0
trekhleb/javascript-algorithms,javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,195731,JavaScript,2018-03-24T07:47:04Z,2026-03-05T19:29:07Z,2903,7.948,304,0,371,233,0.628032,62.8,0
tensorflow/tensorflow,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,194010,C++,2015-11-07T01:19:20Z,2026-03-05T21:18:14Z,3771,10.3244,42325,221,41195,40300,0.978274,97.83,0
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,185126,Shell,2009-08-28T18:15:37Z,2026-03-05T21:01:53Z,6033,16.5175,3515,0,5034,4891,0.971593,97.16,0
getify/You-Dont-Know-JS,You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,184461,Unknown,2013-11-16T02:37:24Z,2026-03-05T20:18:26Z,4492,12.2984,370,0,949,949,1.0,100.0,0
CyC2018/CS-Notes,CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,183818,Unknown,2018-02-13T14:56:24Z,2026-03-05T16:40:25Z,2942,8.0548,374,0,578,449,0.776817,77.68,0
microsoft/vscode,vscode,microsoft,https://github.com/microsoft/vscode,182327,TypeScript,2015-09-03T20:23:38Z,2026-03-05T21:00:54Z,3836,10.5024,43321,197,232173,218754,0.942203,94.22,0
Significant-Gravitas/AutoGPT,AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,182201,Python,2023-03-16T09:21:07Z,2026-03-05T21:32:22Z,1085,2.9706,3970,94,3738,3505,0.937667,93.77,0
