full_name,repo_name,owner,url,stars,primary_language,created_at,pushed_at,age_days,age_years,merged_prs,total_releases,total_issues,closed_issues,closed_issues_ratio,closed_issues_percent,days_since_last_push
codecrafters-io/build-your-own-x,build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,474469,Markdown,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,2864,7.8412,155,0,889,653,0.734533,73.45,19
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,438099,TypeScript,2014-12-24T17:49:19Z,2026-03-12T19:26:19Z,4096,11.2142,27845,0,21173,21016,0.992585,99.26,0
public-apis/public-apis,public-apis,public-apis,https://github.com/public-apis/public-apis,408383,Python,2016-03-20T23:49:42Z,2026-02-19T15:14:35Z,3643,9.974,1872,0,840,832,0.990476,99.05,21
EbookFoundation/free-programming-books,free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,383984,Python,2013-10-11T06:50:37Z,2026-03-12T00:48:42Z,4535,12.4162,7337,0,1264,1228,0.971519,97.15,0
kamranahmedse/developer-roadmap,developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,350828,TypeScript,2017-03-15T13:45:52Z,2026-03-11T13:06:09Z,3284,8.9911,4091,1,3090,3083,0.997735,99.77,1
donnemartin/system-design-primer,system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,338646,Python,2017-02-26T16:15:28Z,2026-03-12T01:13:46Z,3301,9.0376,208,0,360,116,0.322222,32.22,0
openclaw/openclaw,openclaw,openclaw,https://github.com/openclaw/openclaw,307429,TypeScript,2025-11-24T10:16:47Z,2026-03-12T19:40:55Z,108,0.2957,3143,65,18069,11011,0.609386,60.94,0
vinta/awesome-python,awesome-python,vinta,https://github.com/vinta/awesome-python,286865,Python,2014-06-27T21:00:06Z,2026-03-11T06:55:02Z,4275,11.7043,642,0,0,0,0.0,0.0,1
facebook/react,react,facebook,https://github.com/facebook/react,243936,JavaScript,2013-05-24T16:15:54Z,2026-03-12T18:17:25Z,4675,12.7995,12782,118,14398,13589,0.943812,94.38,0
torvalds/linux,linux,torvalds,https://github.com/torvalds/linux,222460,C,2011-09-04T22:48:12Z,2026-03-11T16:34:35Z,5302,14.5161,0,0,0,0,0.0,0.0,1
