metrica,media,mediana,desvio_padrao,min,max,n
estrelas,9099.6339,5665.0,10477.8185,3474.0,124039.0,896
idade_anos,10.0152,10.2053,3.1089,0.512,17.1964,896
total_releases,37.7746,10.0,102.8881,0.0,2232.0,896
loc_total,64316.3717,12911.5,164528.0916,2.0,1826041.0,896
cbo_mediana,3.4068,3.0,1.4812,0.0,11.0,896
dit_mediana,1.0971,1.0,0.3163,1.0,3.0,896
lcom_mediana,1.481,0.0,16.7335,0.0,453.5,896
cbo_media,5.1732,5.13,1.7441,0.0,16.3333,896
dit_media,1.4517,1.3929,0.3491,1.0,4.388,896
lcom_media,57.3711,23.4054,146.0553,0.0,1679.7284,896
