grupo,metrica,n,media,mediana,desvio_padrao,min,p25,p75,p95,max,iqr
MERGED,changed_files,9728,8.9162,2.0,79.6201,0.0,1.0,5.0,24.0,6038.0,4.0
MERGED,additions,9728,420.0544,22.0,5719.8503,0.0,3.0,119.0,1081.0,496842.0,116.0
MERGED,deletions,9728,160.5268,4.0,1941.746,0.0,1.0,25.0,316.65,100096.0,24.0
MERGED,loc_total,9728,580.5812,34.0,6474.2598,0.0,6.0,162.0,1428.65,496871.0,156.0
MERGED,tempo_analise_horas,9728,676.2507,40.7326,2971.2484,1.0003,8.7476,223.9831,2854.0854,80867.5525,215.2355
MERGED,descricao_tamanho_chars,9728,1561.4784,698.0,3700.988,0.0,159.0,1729.25,5253.25,82171.0,1570.25
MERGED,num_participantes,9728,2.9036,3.0,1.7782,1.0,2.0,3.0,6.0,40.0,1.0
MERGED,total_comentarios,9728,2.8746,1.0,5.6334,0.0,0.0,3.0,10.0,181.0,3.0
MERGED,numero_reviews,9728,3.7222,2.0,13.1769,1.0,1.0,3.0,11.0,905.0,2.0
CLOSED,changed_files,4619,10.9671,2.0,137.1324,0.0,1.0,4.0,21.0,7264.0,3.0
CLOSED,additions,4619,2646.8288,23.0,59781.8635,0.0,2.0,133.5,1706.9,2901110.0,131.5
CLOSED,deletions,4619,280.7036,2.0,4069.3904,0.0,0.0,14.0,320.6,141843.0,14.0
CLOSED,loc_total,4619,2927.5324,31.0,60103.0124,0.0,4.0,174.0,2297.6,2901110.0,170.0
CLOSED,tempo_analise_horas,4619,5001.963,519.8089,10629.2623,1.0117,47.0359,3684.2446,29122.5167,92293.5878,3637.2087
CLOSED,descricao_tamanho_chars,4619,1586.1403,843.0,3691.2803,0.0,198.0,1773.0,4788.8,66564.0,1575.0
CLOSED,num_participantes,4619,3.7683,3.0,7.789,0.0,2.0,4.0,7.0,277.0,2.0
CLOSED,total_comentarios,4619,4.1734,2.0,15.0839,0.0,1.0,4.0,12.0,589.0,3.0
CLOSED,numero_reviews,4619,2.7541,1.0,7.1665,1.0,1.0,3.0,8.0,273.0,2.0
