repo_completo,numero_pr,titulo,autora,status,criado_em,atualizado_em,merged_em,dias_para_merge,numero_reviews,url
codecrafters-io/build-your-own-x,1521,Add: FurrDB key-value Database written in go,itsfuad,CLOSED,2025-07-31T15:43:36Z,2026-04-04T15:59:18Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1521
codecrafters-io/build-your-own-x,1682,Add tutorial: Build your own AI agent credential vault,nKOxxx,CLOSED,2026-03-04T16:35:13Z,2026-03-24T20:58:25Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1682
codecrafters-io/build-your-own-x,1398,"""Java voxel game"" video unavalible  anymore",NikoPit,MERGED,2025-03-29T11:34:57Z,2026-03-10T19:32:10Z,2026-02-21T09:34:54+00:00,328,1,https://github.com/codecrafters-io/build-your-own-x/pull/1398
codecrafters-io/build-your-own-x,798,"Add tutorial ""Writing a container in Rust""",litchipi,CLOSED,2022-08-23T09:56:01Z,2026-03-03T10:07:41Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/798
codecrafters-io/build-your-own-x,1681,Add comprehensive tools collection with web spider and system managem…,badhope,CLOSED,2026-03-04T08:15:06Z,2026-03-12T15:09:44Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1681
codecrafters-io/build-your-own-x,1538,"Fix link to ""F#: Building Neural Networks in F#"", add both parts",Velnbur,MERGED,2025-08-18T15:10:50Z,2026-02-21T09:34:48Z,2026-02-21T09:34:46+00:00,186,1,https://github.com/codecrafters-io/build-your-own-x/pull/1538
codecrafters-io/build-your-own-x,1385,Added Build Your Own Kafka,buildthingsuseful,MERGED,2025-03-13T06:09:46Z,2026-02-21T09:34:18Z,2026-02-21T09:34:16+00:00,345,1,https://github.com/codecrafters-io/build-your-own-x/pull/1385
codecrafters-io/build-your-own-x,1425,Adding section for memory allocators and adding a first tutorial for it,AlejandroFNadal,MERGED,2025-04-26T14:27:02Z,2026-02-21T09:34:10Z,2026-02-21T09:34:08+00:00,300,1,https://github.com/codecrafters-io/build-your-own-x/pull/1425
codecrafters-io/build-your-own-x,1393,Update README. to add sync engine blog post,cristiano-belloni,MERGED,2025-03-22T17:47:39Z,2026-02-21T09:34:14Z,2026-02-21T09:34:12+00:00,335,1,https://github.com/codecrafters-io/build-your-own-x/pull/1393
codecrafters-io/build-your-own-x,1504,Add section: Build your own AI Model,rasbt,MERGED,2025-07-05T23:14:09Z,2026-02-21T09:34:03Z,2026-02-21T09:34:01+00:00,230,1,https://github.com/codecrafters-io/build-your-own-x/pull/1504
codecrafters-io/build-your-own-x,1621,Fix Typos and Improve Formatting in README.md,yeshuawm999,CLOSED,2025-11-22T13:44:27Z,2026-02-21T09:22:10Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1621
codecrafters-io/build-your-own-x,1639,Add Code a database in 45 steps,byo-books,MERGED,2025-12-25T08:40:55Z,2026-01-02T05:02:41Z,2025-12-26T19:40:39+00:00,1,1,https://github.com/codecrafters-io/build-your-own-x/pull/1639
codecrafters-io/build-your-own-x,905,added a video of making web browser in python,TheRealNightmare,CLOSED,2023-05-29T19:44:24Z,2025-12-29T18:04:35Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/905
codecrafters-io/build-your-own-x,1618,"docs: fix typos, formatting issues, and markdown spacing in README",Born-as-Harsha,CLOSED,2025-11-19T17:22:48Z,2025-12-21T05:22:23Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1618
codecrafters-io/build-your-own-x,1517,Update README.md,rv-patel-0131,CLOSED,2025-07-24T11:30:42Z,2025-12-20T02:20:32Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1517
codecrafters-io/build-your-own-x,1572,H,sahiixx,CLOSED,2025-10-07T01:39:58Z,2025-10-07T01:40:24Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1572
codecrafters-io/build-your-own-x,1559,Open,Will100001,CLOSED,2025-09-13T21:00:24Z,2025-09-13T21:16:06Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1559
codecrafters-io/build-your-own-x,373,Microcontrollers - Design and Implementation added,prp-e,CLOSED,2019-09-12T16:41:30Z,2025-10-02T09:15:58Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/373
codecrafters-io/build-your-own-x,1503,my life partner,JohnDaWalka,CLOSED,2025-07-05T21:34:07Z,2025-08-29T00:42:05Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1503
codecrafters-io/build-your-own-x,688,"Fixed links, added tutorials, added categories",thereal-atom,CLOSED,2021-12-12T15:33:16Z,2025-08-22T20:41:00Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/688
codecrafters-io/build-your-own-x,1434,Add link to Build your own TanStack Query,mugglim,CLOSED,2025-05-17T15:18:23Z,2025-08-10T07:18:14Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1434
codecrafters-io/build-your-own-x,892,Add: Build your own - Adblocker,9bany,MERGED,2023-05-09T01:19:09Z,2025-07-16T03:47:24Z,2023-05-09T09:01:40+00:00,0,1,https://github.com/codecrafters-io/build-your-own-x/pull/892
codecrafters-io/build-your-own-x,1419,YourWorld,desirelovellcom,CLOSED,2025-04-18T22:28:07Z,2025-05-27T03:49:12Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1419
codecrafters-io/build-your-own-x,1396,add a new operating system tutorial,sudonam,CLOSED,2025-03-28T11:52:40Z,2025-03-28T13:35:04Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1396
codecrafters-io/build-your-own-x,1414,Add a new tutorial for zig.,maysara-elshewehy,MERGED,2025-04-11T18:01:29Z,2025-04-11T19:13:28Z,2025-04-11T19:13:28+00:00,0,1,https://github.com/codecrafters-io/build-your-own-x/pull/1414
codecrafters-io/build-your-own-x,1406,Patch 1,ghost,CLOSED,2025-04-05T19:31:19Z,2025-04-06T15:03:30Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1406
codecrafters-io/build-your-own-x,751,Add tutorial for building a Rust Text Editor.,guuzaa,MERGED,2022-06-18T01:56:48Z,2025-01-23T17:23:12Z,2022-08-04T11:23:29+00:00,47,1,https://github.com/codecrafters-io/build-your-own-x/pull/751
codecrafters-io/build-your-own-x,1293,Update README.md,bryankeating10,CLOSED,2024-12-05T01:45:54Z,2025-01-23T00:33:38Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1293
codecrafters-io/build-your-own-x,948,Update README.md,tmsagarofficial,CLOSED,2023-10-25T04:24:07Z,2025-02-05T17:34:00Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/948
codecrafters-io/build-your-own-x,1325,Update README.md,Parag479,CLOSED,2025-02-04T11:09:30Z,2025-03-04T12:22:31Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1325
codecrafters-io/build-your-own-x,1084,feat: added how to build a cli app with node 2024 guide,gomzkov,CLOSED,2024-06-29T08:23:12Z,2024-09-13T13:41:27Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1084
codecrafters-io/build-your-own-x,1060,fix: fixed broken link from list,davayd,MERGED,2024-06-05T21:00:45Z,2024-07-15T01:46:26Z,2024-06-12T21:49:32+00:00,7,1,https://github.com/codecrafters-io/build-your-own-x/pull/1060
codecrafters-io/build-your-own-x,349,Added a tutorial: Lest's build a NodeJS micro framework,evanxg852000,CLOSED,2019-04-13T12:06:48Z,2024-07-25T17:59:41Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/349
codecrafters-io/build-your-own-x,797,Update README.md,josephwhittington,CLOSED,2022-08-16T14:14:12Z,2024-05-25T15:47:02Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/797
codecrafters-io/build-your-own-x,1030,added python commandline tool,zpratikpathak,CLOSED,2024-04-12T03:57:56Z,2024-04-14T10:53:53Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/1030
codecrafters-io/build-your-own-x,512,Fix a broken link with archive,jgradio64,CLOSED,2020-07-27T02:13:06Z,2024-02-12T22:30:30Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/512
codecrafters-io/build-your-own-x,961,new pull request,Chicago2219,CLOSED,2023-11-23T18:00:26Z,2023-11-24T11:55:09Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/961
codecrafters-io/build-your-own-x,934,Fix: Replaced a broken link with alternative from smashingmagazine.com,carb1d3,MERGED,2023-09-30T06:56:25Z,2023-10-26T20:04:50Z,2023-10-26T20:04:50+00:00,26,1,https://github.com/codecrafters-io/build-your-own-x/pull/934
codecrafters-io/build-your-own-x,944,Update README.md,AaadityaG,CLOSED,2023-10-11T11:40:19Z,2023-10-16T17:13:38Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/944
codecrafters-io/build-your-own-x,870,Add quote information,CodeMaster7000,CLOSED,2023-03-26T10:00:21Z,2023-10-16T15:00:34Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/870
codecrafters-io/build-your-own-x,425,Add Write your own Excel in 100 lines of F#,avestura,CLOSED,2020-02-07T13:37:24Z,2023-07-30T08:45:16Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/425
codecrafters-io/build-your-own-x,514,Update readme,Marcosultymos,CLOSED,2020-08-02T21:17:08Z,2023-07-16T16:00:52Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/514
codecrafters-io/build-your-own-x,748,Added tutorial for building a basic Rust CLI app,wanderingeek,CLOSED,2022-06-17T12:00:53Z,2023-07-04T13:58:31Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/748
codecrafters-io/build-your-own-x,893,add Build your own VPN/Virtual Switch,peiyuanix,MERGED,2023-05-09T09:03:51Z,2023-05-10T00:26:40Z,2023-05-10T00:26:40+00:00,0,1,https://github.com/codecrafters-io/build-your-own-x/pull/893
codecrafters-io/build-your-own-x,802,add python slack bot,abe-101,CLOSED,2022-09-02T02:55:49Z,2023-03-02T06:23:48Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/802
codecrafters-io/build-your-own-x,855,Add KV store,dineshgowda24,MERGED,2023-02-14T19:48:30Z,2023-02-16T11:17:49Z,2023-02-16T11:17:42+00:00,1,1,https://github.com/codecrafters-io/build-your-own-x/pull/855
codecrafters-io/build-your-own-x,542,"Add link to ""ugit: Building Git Yourself""",nikital,MERGED,2020-10-11T11:29:49Z,2023-01-31T07:38:02Z,2023-01-31T07:38:01+00:00,841,1,https://github.com/codecrafters-io/build-your-own-x/pull/542
codecrafters-io/build-your-own-x,551,Add Ray Tracing in One Weekend,paralysedforce,MERGED,2020-11-17T02:38:14Z,2023-01-31T07:44:40Z,2023-01-31T07:44:39+00:00,805,1,https://github.com/codecrafters-io/build-your-own-x/pull/551
codecrafters-io/build-your-own-x,404,Add an article about monadic parser combinators in C#,Tyrrrz,CLOSED,2019-11-10T21:06:49Z,2022-11-28T09:34:36Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/404
codecrafters-io/build-your-own-x,795,New 2D game development with JavaScript added,castroitalo,CLOSED,2022-08-15T01:52:46Z,2022-11-08T10:10:48Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/795
codecrafters-io/build-your-own-x,809,Add Create Your Own CLI Tool with NodeJS,yairhaimo,MERGED,2022-10-05T17:56:03Z,2022-10-09T10:17:49Z,2022-10-09T10:17:49+00:00,3,1,https://github.com/codecrafters-io/build-your-own-x/pull/809
codecrafters-io/build-your-own-x,678,added cryptoCurreny miner and dockerize tuturial,yigitkader,CLOSED,2021-11-17T20:04:08Z,2022-07-18T13:41:34Z,,,1,https://github.com/codecrafters-io/build-your-own-x/pull/678
codecrafters-io/build-your-own-x,775,Update Games With Go unavailable link,aasisodiya,MERGED,2022-07-16T11:43:47Z,2022-07-20T20:43:50Z,2022-07-20T14:00:56+00:00,4,1,https://github.com/codecrafters-io/build-your-own-x/pull/775
codecrafters-io/build-your-own-x,696,Emphasize JavaScript's Regex Implementation Topic,joaorlima,MERGED,2022-02-13T17:59:19Z,2022-02-16T14:17:59Z,2022-02-16T14:06:28+00:00,2,1,https://github.com/codecrafters-io/build-your-own-x/pull/696
sindresorhus/awesome,4003,Add Microsoft Agent Framework,webmaxru,CLOSED,2026-03-13T21:20:17Z,2026-04-21T08:38:28Z,,,1,https://github.com/sindresorhus/awesome/pull/4003
sindresorhus/awesome,3912,Add Julia Security,bad-antics,CLOSED,2026-01-31T21:37:58Z,2026-04-18T22:37:00Z,,,1,https://github.com/sindresorhus/awesome/pull/3912
sindresorhus/awesome,3732,Add DynamoDB,tysoncung,CLOSED,2025-11-04T07:11:06Z,2026-04-18T22:30:51Z,,,1,https://github.com/sindresorhus/awesome/pull/3732
sindresorhus/awesome,4091,Added machine learning resource,sharvanimarne,CLOSED,2026-04-12T04:42:25Z,2026-04-12T04:44:16Z,,,1,https://github.com/sindresorhus/awesome/pull/4091
sindresorhus/awesome,3945,Add awesome-infrastructure to Back-End Development section,raya-ac,CLOSED,2026-02-14T10:22:18Z,2026-04-09T02:09:16Z,,,1,https://github.com/sindresorhus/awesome/pull/3945
sindresorhus/awesome,2939,Add STEM Academy,tapyu,CLOSED,2024-01-12T07:35:09Z,2026-04-08T13:04:49Z,,,1,https://github.com/sindresorhus/awesome/pull/2939
sindresorhus/awesome,4014,Add Generative Engine Optimization (GEO),luka2chat,CLOSED,2026-03-18T16:32:53Z,2026-04-02T08:04:22Z,,,1,https://github.com/sindresorhus/awesome/pull/4014
sindresorhus/awesome,4049,Add Hands-on Neuroscience,cYoren,CLOSED,2026-03-29T15:55:24Z,2026-04-01T22:31:50Z,,,1,https://github.com/sindresorhus/awesome/pull/4049
sindresorhus/awesome,3998,Add Developer PKM,tahayigitmelek,CLOSED,2026-03-11T21:24:40Z,2026-04-02T07:27:33Z,,,1,https://github.com/sindresorhus/awesome/pull/3998
sindresorhus/awesome,4046,Add LOL / Commonly Abused,danzek,CLOSED,2026-03-26T18:47:50Z,2026-04-03T05:01:38Z,,,1,https://github.com/sindresorhus/awesome/pull/4046
sindresorhus/awesome,4012,Add Raspberry Pi,erkcet,CLOSED,2026-03-18T06:48:56Z,2026-04-01T20:56:15Z,,,1,https://github.com/sindresorhus/awesome/pull/4012
sindresorhus/awesome,4040,Add CrowdSec,wolffcatskyy,CLOSED,2026-03-25T00:19:37Z,2026-04-01T21:04:48Z,,,1,https://github.com/sindresorhus/awesome/pull/4040
sindresorhus/awesome,3999,Add Awesome n8n Templates to Platforms,enescingoz,CLOSED,2026-03-12T18:29:39Z,2026-04-01T20:53:53Z,,,1,https://github.com/sindresorhus/awesome/pull/3999
sindresorhus/awesome,4017,Add UniFi,wolffcatskyy,CLOSED,2026-03-19T15:34:59Z,2026-04-01T21:05:35Z,,,1,https://github.com/sindresorhus/awesome/pull/4017
sindresorhus/awesome,3961,Add RSSHub Routes,JackyST0,CLOSED,2026-02-24T05:37:28Z,2026-04-01T20:52:44Z,,,1,https://github.com/sindresorhus/awesome/pull/3961
sindresorhus/awesome,3733,Add RISC-V,tansiret,CLOSED,2025-11-04T14:29:54Z,2026-04-01T16:21:15Z,,,1,https://github.com/sindresorhus/awesome/pull/3733
sindresorhus/awesome,3964,Add new link for Humane Technology,fdmarcin,CLOSED,2026-02-25T12:11:07Z,2026-04-01T18:11:38Z,,,1,https://github.com/sindresorhus/awesome/pull/3964
sindresorhus/awesome,3447,Add Alt Clouds,felixwidjaja,CLOSED,2025-05-15T08:20:08Z,2026-04-01T17:45:54Z,,,1,https://github.com/sindresorhus/awesome/pull/3447
sindresorhus/awesome,3960,Add Webhooks,realadeel,CLOSED,2026-02-23T11:03:27Z,2026-04-01T20:51:56Z,,,1,https://github.com/sindresorhus/awesome/pull/3960
sindresorhus/awesome,3991,Add AI Agents awesome list,hiSandog,CLOSED,2026-03-08T13:28:03Z,2026-04-01T15:21:58Z,,,1,https://github.com/sindresorhus/awesome/pull/3991
sindresorhus/awesome,3788,Add Digital Nomad resource link to README,XxKaliCharanxX,CLOSED,2025-11-25T18:03:52Z,2026-04-01T15:22:22Z,,,1,https://github.com/sindresorhus/awesome/pull/3788
sindresorhus/awesome,3927,Add HyperAgency agentic AI OS,alphara,CLOSED,2026-02-05T14:35:06Z,2026-04-01T09:36:21Z,,,1,https://github.com/sindresorhus/awesome/pull/3927
sindresorhus/awesome,3861,Add MCP,YuzeHao2023,CLOSED,2026-01-09T11:13:50Z,2026-04-01T09:22:00Z,,,1,https://github.com/sindresorhus/awesome/pull/3861
