nome_completo,nome_repo,dono,url,estrelas,criado_em,atualizado_em,idade_dias,idade_anos,dias_desde_ultimo_push
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,443918,2014-12-24T17:49:19Z,2026-04-30T06:27:16Z,4144,11.3457,0
openclaw/openclaw,openclaw,openclaw,https://github.com/openclaw/openclaw,366627,2025-11-24T10:16:47Z,2026-04-30T11:24:09Z,157,0.4298,0
facebook/react,react,facebook,https://github.com/facebook/react,244772,2013-05-24T16:15:54Z,2026-04-29T20:18:39Z,4723,12.9309,0
torvalds/linux,linux,torvalds,https://github.com/torvalds/linux,231394,2011-09-04T22:48:12Z,2026-04-30T05:25:36Z,5351,14.6502,0
TheAlgorithms/Python,Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,220446,2016-07-16T09:44:01Z,2026-04-13T22:10:46Z,3575,9.7878,16
vuejs/vue,vue,vuejs,https://github.com/vuejs/vue,209811,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,4658,12.7529,567
ossu/computer-science,computer-science,ossu,https://github.com/ossu/computer-science,203435,2014-05-04T00:18:39Z,2026-04-21T04:43:27Z,4379,11.989,9
trekhleb/javascript-algorithms,javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,195900,2018-03-24T07:47:04Z,2026-02-18T09:20:06Z,2959,8.1013,71
tensorflow/tensorflow,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,194938,2015-11-07T01:19:20Z,2026-04-30T11:28:17Z,3827,10.4778,0
ultraworkers/claw-code,claw-code,ultraworkers,https://github.com/ultraworkers/claw-code,189340,2026-03-31T08:58:08Z,2026-04-30T11:01:44Z,30,0.0821,0
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186619,2009-08-28T18:15:37Z,2026-04-30T08:03:00Z,6088,16.668,0
n8n-io/n8n,n8n,n8n-io,https://github.com/n8n-io/n8n,186207,2019-06-22T09:24:21Z,2026-04-30T11:29:44Z,2504,6.8556,0
microsoft/vscode,vscode,microsoft,https://github.com/microsoft/vscode,184408,2015-09-03T20:23:38Z,2026-04-30T11:21:46Z,3891,10.653,0
Significant-Gravitas/AutoGPT,AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,183897,2023-03-16T09:21:07Z,2026-04-30T11:27:20Z,1141,3.1239,0
flutter/flutter,flutter,flutter,https://github.com/flutter/flutter,176150,2015-03-06T22:54:58Z,2026-04-30T08:08:55Z,4072,11.1485,0
twbs/bootstrap,bootstrap,twbs,https://github.com/twbs/bootstrap,174214,2011-07-29T21:19:00Z,2026-04-30T10:18:30Z,5388,14.7515,0
obra/superpowers,superpowers,obra,https://github.com/obra/superpowers,173986,2025-10-09T19:45:18Z,2026-04-28T23:56:47Z,202,0.553,1
massgravel/Microsoft-Activation-Scripts,Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,173634,2020-01-12T23:03:34Z,2026-04-17T19:03:42Z,2299,6.2943,12
ollama/ollama,ollama,ollama,https://github.com/ollama/ollama,170384,2023-06-26T19:39:32Z,2026-04-30T03:33:54Z,1038,2.8419,0
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162670,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,1346,3.6851,59
huggingface/transformers,transformers,huggingface,https://github.com/huggingface/transformers,160115,2018-10-29T13:56:00Z,2026-04-30T10:56:40Z,2739,7.499,0
yt-dlp/yt-dlp,yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,159756,2020-10-26T04:22:55Z,2026-04-19T21:37:26Z,2012,5.5086,10
DigitalPlatDev/FreeDomain,FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,159445,2024-05-30T13:23:00Z,2026-04-24T13:50:28Z,699,1.9138,5
521xueweihan/HelloGitHub,HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,154042,2016-05-04T06:24:11Z,2026-04-28T00:48:03Z,3648,9.9877,2
anomalyco/opencode,opencode,anomalyco,https://github.com/anomalyco/opencode,152325,2025-04-30T20:08:00Z,2026-04-30T11:29:07Z,364,0.9966,0
langflow-ai/langflow,langflow,langflow-ai,https://github.com/langflow-ai/langflow,147537,2023-02-08T22:28:03Z,2026-04-30T03:50:29Z,1176,3.2197,0
ytdl-org/youtube-dl,youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,140159,2010-10-31T14:35:07Z,2026-02-19T16:45:25Z,5659,15.4935,69
langgenius/dify,dify,langgenius,https://github.com/langgenius/dify,139724,2023-04-12T07:40:24Z,2026-04-30T11:22:53Z,1114,3.05,0
vercel/next.js,next.js,vercel,https://github.com/vercel/next.js,139229,2016-10-05T23:32:51Z,2026-04-30T10:52:29Z,3493,9.5633,0
Genymobile/scrcpy,scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,139220,2017-11-21T18:00:27Z,2026-04-30T11:09:17Z,3081,8.4353,0
langchain-ai/langchain,langchain,langchain-ai,https://github.com/langchain-ai/langchain,135466,2022-10-17T02:58:36Z,2026-04-30T07:04:32Z,1291,3.5346,0
open-webui/open-webui,open-webui,open-webui,https://github.com/open-webui/open-webui,134912,2023-10-06T22:08:27Z,2026-04-24T10:07:14Z,936,2.5626,6
golang/go,go,golang,https://github.com/golang/go,133691,2014-08-19T04:33:40Z,2026-04-30T00:01:20Z,4272,11.6961,0
microsoft/PowerToys,PowerToys,microsoft,https://github.com/microsoft/PowerToys,132568,2019-05-01T17:44:02Z,2026-04-30T08:21:18Z,2555,6.9952,0
Chalarangelo/30-seconds-of-code,30-seconds-of-code,Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,127632,2017-11-29T17:35:03Z,2026-04-21T22:12:54Z,3073,8.4134,8
anthropics/skills,skills,anthropics,https://github.com/anthropics/skills,126423,2025-09-22T15:53:31Z,2026-04-23T17:07:20Z,219,0.5996,6
NousResearch/hermes-agent,hermes-agent,NousResearch,https://github.com/NousResearch/hermes-agent,126031,2025-07-22T22:22:28Z,2026-04-30T11:29:18Z,281,0.7693,0
krahets/hello-algo,hello-algo,krahets,https://github.com/krahets/hello-algo,125780,2022-11-04T11:08:34Z,2026-04-18T18:23:33Z,1273,3.4853,11
facebook/react-native,react-native,facebook,https://github.com/facebook/react-native,125733,2015-01-09T18:10:16Z,2026-04-30T03:14:40Z,4128,11.3018,0
excalidraw/excalidraw,excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,122265,2020-01-02T01:04:43Z,2026-04-30T10:45:37Z,2310,6.3244,0
kubernetes/kubernetes,kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,122003,2014-06-06T22:56:04Z,2026-04-30T11:23:25Z,4345,11.896,0
electron/electron,electron,electron,https://github.com/electron/electron,121081,2013-04-12T01:47:36Z,2026-04-30T08:10:25Z,4766,13.0486,0
anthropics/claude-code,claude-code,anthropics,https://github.com/anthropics/claude-code,119400,2025-02-22T17:41:21Z,2026-04-29T03:29:13Z,431,1.18,1
microsoft/markitdown,markitdown,microsoft,https://github.com/microsoft/markitdown,118866,2024-11-13T19:56:40Z,2026-04-20T17:52:20Z,532,1.4565,9
