tecnologia,tempo_ms,tamanho_bytes
REST,14.907200,324
GraphQL,1.327700,52
REST,0.796400,329
GraphQL,1.022200,57
REST,0.880200,324
GraphQL,1.287900,52
REST,0.758000,325
GraphQL,0.996300,57
REST,0.717100,325
GraphQL,0.928900,52
REST,0.698800,326
GraphQL,0.925000,54
REST,0.936200,330
GraphQL,1.300900,56
REST,0.912000,324
GraphQL,1.131800,55
REST,0.739300,326
GraphQL,1.006900,57
REST,0.705300,321
GraphQL,1.089900,50
REST,0.778700,327
GraphQL,0.986500,54
REST,0.702700,326
GraphQL,1.022000,57
REST,0.708900,333
GraphQL,0.897400,58
REST,0.744900,327
GraphQL,1.602800,52
REST,0.978200,330
GraphQL,1.092900,57
REST,0.749000,325
GraphQL,0.973600,53
REST,0.723000,325
GraphQL,1.246100,55
REST,0.861300,328
GraphQL,1.102000,55
REST,0.941400,326
GraphQL,1.079100,54
REST,0.770000,328
GraphQL,1.105900,54
REST,0.929400,326
GraphQL,1.474400,54
REST,1.051700,324
GraphQL,1.220700,53
REST,0.857200,329
GraphQL,1.073900,56
REST,0.966700,324
GraphQL,1.676000,52
REST,0.815700,325
GraphQL,1.119900,55
REST,0.746800,326
GraphQL,1.076900,54
REST,0.917300,329
GraphQL,1.177800,52
REST,0.852600,333
GraphQL,0.981500,58
REST,0.826500,327
GraphQL,0.968300,54
REST,0.743700,322
GraphQL,0.952400,53
REST,0.822100,327
GraphQL,1.191100,52
REST,0.709500,327
GraphQL,1.001800,54
REST,0.718600,324
GraphQL,1.060600,53
REST,0.926900,327
GraphQL,1.475100,56
REST,0.909500,328
GraphQL,1.195900,53
REST,0.774000,326
GraphQL,1.118000,54
REST,0.753100,326
GraphQL,1.055600,54
REST,0.942300,326
GraphQL,1.216500,54
REST,0.803900,325
GraphQL,1.032100,55
REST,0.754700,327
GraphQL,1.122000,54
REST,0.845000,325
GraphQL,1.055800,55
REST,0.888700,328
GraphQL,1.024700,56
REST,0.692800,330
GraphQL,0.905700,57
REST,0.673300,325
GraphQL,0.902000,55
REST,0.812400,323
GraphQL,1.074600,53
REST,0.717800,328
GraphQL,0.952800,55
REST,0.697800,325
GraphQL,0.928500,51
REST,0.770300,326
GraphQL,0.932100,55
REST,0.797000,322
GraphQL,1.024700,53
REST,0.695900,324
GraphQL,0.903400,52
REST,0.712700,328
GraphQL,0.945500,56
REST,0.674000,324
GraphQL,0.856000,53
REST,0.831200,329
