tecnologia,tempo_ms,tamanho_bytes
REST,2.641902,330
GraphQL,3.221791,56
REST,2.878644,330
GraphQL,3.555345,57
REST,2.254467,328
GraphQL,7.475294,53
REST,7.107490,330
GraphQL,7.210257,56
REST,5.123473,322
GraphQL,6.744969,53
REST,2.412908,327
GraphQL,3.026597,54
REST,3.710365,320
GraphQL,19.274585,53
REST,3.163036,324
GraphQL,9.225413,55
REST,2.105148,324
GraphQL,3.100951,53
REST,2.581106,325
GraphQL,3.205889,51
REST,2.686807,325
GraphQL,3.597329,52
REST,2.120836,330
GraphQL,3.278780,57
REST,1.976681,325
GraphQL,5.880296,55
REST,2.841784,325
GraphQL,2.848689,55
REST,1.902508,325
GraphQL,3.210961,53
REST,1.962919,328
GraphQL,2.942228,54
REST,2.241721,327
GraphQL,4.079691,54
REST,2.139162,328
GraphQL,3.035104,56
REST,2.206911,327
GraphQL,2.856437,52
REST,1.851876,326
GraphQL,3.258910,54
REST,1.887209,328
GraphQL,3.695501,56
REST,2.128230,324
GraphQL,2.896108,52
REST,2.014081,327
GraphQL,2.999406,53
REST,1.889794,326
GraphQL,5.756688,54
REST,1.840184,324
GraphQL,3.309885,53
REST,1.807336,333
GraphQL,3.135065,58
REST,2.704091,326
GraphQL,3.181933,57
REST,1.832995,324
GraphQL,3.377681,53
REST,1.573433,324
GraphQL,3.035796,53
REST,1.940406,329
GraphQL,2.492406,52
REST,3.921749,323
GraphQL,5.167712,53
REST,4.331793,324
GraphQL,3.000207,52
REST,2.176742,325
GraphQL,13.405264,51
REST,2.339244,328
GraphQL,3.282747,54
REST,1.839617,324
GraphQL,2.592001,53
REST,1.627839,325
GraphQL,2.295529,55
REST,1.335895,331
GraphQL,1.994649,57
REST,1.861967,326
GraphQL,2.865349,54
REST,1.597474,330
GraphQL,2.424366,56
REST,1.439993,321
GraphQL,4.505086,50
REST,2.674453,322
GraphQL,2.525224,53
REST,4.804497,324
GraphQL,2.901730,52
REST,1.834248,325
GraphQL,4.685530,53
REST,1.885676,329
GraphQL,2.836905,57
REST,2.138700,325
GraphQL,3.717920,52
REST,6.182703,326
GraphQL,2.603629,57
REST,2.021947,325
GraphQL,2.309616,53
REST,1.846902,324
GraphQL,2.734039,52
REST,1.859296,327
GraphQL,2.869718,54
REST,1.791106,330
GraphQL,2.326128,57
REST,1.614657,327
GraphQL,2.412062,59
REST,2.293641,325
GraphQL,3.530301,51
REST,1.952613,327
GraphQL,3.242280,54
REST,2.188144,327
GraphQL,3.049583,52
REST,2.256596,327
GraphQL,3.120096,52
REST,2.758254,327
GraphQL,3.472030,54
REST,2.220716,327
GraphQL,15.025692,52
REST,2.572840,322
GraphQL,3.187054,53
REST,9.080594,327
GraphQL,3.066695,55
REST,2.326449,325
GraphQL,3.430800,51
